group,learner_seed,timestep,policy_hash,log_std_bid,log_std_ask,action_std_bid,action_std_ask,n_eval_seeds,det_mean_objective,det_std_objective,det_se_objective,det_mean_raw_pnl,det_loss_rate,det_mean_quoted_spread,det_median_quoted_spread,det_mean_fills,det_mean_abs_inventory,det_mean_signed_inventory,det_terminal_abs_inventory,det_terminal_signed_inventory,det_running_penalty,det_terminal_penalty,det_frac_near_bound,stoch_mean_objective,stoch_std_objective,stoch_se_objective,stoch_mean_raw_pnl,stoch_loss_rate,stoch_mean_quoted_spread,stoch_median_quoted_spread,stoch_mean_fills,stoch_mean_abs_inventory,stoch_mean_signed_inventory,stoch_terminal_abs_inventory,stoch_terminal_signed_inventory,stoch_running_penalty,stoch_terminal_penalty,stoch_frac_near_bound
A,0,16000,bd676cb2bf7451eae657f49171993acfacb22ab9814805f35056bf92011c9456,-0.00986347533762455,-0.009242897853255272,0.990185022354126,0.9907997250556946,50,31.513239516175904,41.22800224123421,5.830519991910178,31.930154461970936,0.2,3.216370230481948,3.2099673951699694,26.6,3.9663835650604677,2.294873715110155,7.16,4.8,0.333354945795038,0.08356000000000002,0.0,0.5483390498756772,89.03946596898135,12.592082035979107,1.3824412297167625,0.48,3.169789564221347,3.1602148473020506,80.9,6.222179377447799,2.117071025817415,9.94,4.7,0.6774821798410844,0.15662000000000004,0.5653071071944816
A,0,32000,cb2a9837c59377b64364a21470091080764b8410fd9150686f580ce9a8b18f4c,-0.029947249218821526,-0.01109657995402813,0.9704967737197876,0.9889647960662842,50,32.138187309858424,31.17179236341954,4.408357152382599,32.36527279961156,0.12,3.0243003586042527,3.02098684217602,24.04,2.9855981161205283,0.46533313768066625,5.08,1.2,0.18452548975313765,0.04256,0.0,6.0706714638234915,62.761927522114235,8.875876910245116,6.638392759526614,0.42,3.031558068073957,3.0357276380207585,74.42,5.167283587535344,-1.2600347974967392,7.9,-2.02,0.47634129570312306,0.09138,0.5580505771338536
A,0,48000,04098f0d32925f6f70b4720e78ad49625871671d74a85fb86b1d78b581f81f80,-0.06424473971128464,-0.05843877047300339,0.9377754330635071,0.9432359933853149,50,32.61622976066655,24.46167541735962,3.459403313359851,32.76412802704571,0.06,2.9184621972789646,2.918249463556796,20.58,2.563061985932294,-0.6430958917334283,3.94,-0.94,0.12323826637915598,0.02466,0.0,13.88075945960312,58.40265439190394,8.259382591961915,14.266205391599037,0.4,2.9780819088671815,2.9737602654368165,66.72,4.115145107419675,-0.6690850336704375,5.56,-1.04,0.328365931995916,0.05708,0.5324875442927199
A,0,64000,c05a7a9e405bb7e09831323913d3e819139ca271f1f04b11fca8faae505895d7,-0.05840177834033966,-0.08815696835517883,0.9432708024978638,0.9156171679496765,50,28.29163469315263,37.25195130816815,5.268221476487356,28.55150582231046,0.18,2.573257726529194,2.5737802455887406,18.7,3.5756497918737886,-3.199147092393581,5.58,-5.22,0.21469112915782076,0.045180000000000005,0.0,12.168269209815364,86.49140986890284,12.231732486537254,13.220546157300069,0.34,2.7520378628300106,2.7663470788671214,62.88,7.300245954107741,-6.873991464896175,11.44,-11.2,0.8748769474847041,0.17739999999999997,0.550820007500462
A,0,80000,41672fb1ce9788054a9f7f3e4115d8791f84529ef0a45c5ebc93b151fc10b4f5,-0.060048360377550125,-0.08752141147851944,0.9417189955711365,0.916199266910553,50,25.37236397576448,42.52213216724666,6.013537601194147,25.717378253848693,0.22,2.4894390085868277,2.4929180563867988,19.54,4.169934818070596,-3.8609877813066187,6.62,-6.42,0.2840742780842073,0.06094,0.0,9.859573531307472,91.8437903464888,12.98867339277556,10.977571336503784,0.52,2.67969130180544,2.6927860447436065,65.08,7.773394509963283,-7.5585084984913955,12.28,-12.2,0.9357178051963114,0.18227999999999997,0.5485716860661124
A,0,96000,1b66f1073dd4c28db6cb980f9be5b5dc580b1a63ca07c0e3833a95b5d441a28e,-0.06887100636959076,-0.08865024149417877,0.9334470629692078,0.9151656031608582,50,23.32207683194748,41.7500312269444,5.9043460390644995,23.63213470191491,0.24,2.4945240383996046,2.4992534981297903,17.66,4.082824452668231,-3.9126468746148295,6.1,-5.98,0.2604378699674349,0.049620000000000004,0.0,8.144271055477969,86.24173088250232,12.196422545656537,9.285573513986998,0.46,2.7031066759959277,2.6895006616012256,59.6,8.066276223053771,-7.858262637064834,11.8,-11.64,0.9649824585090299,0.17632,0.5577730759579687
A,0,112000,ce4708573a7862fb0e35d7b26e7936c2a2f20d6e13608062c302626a5cf490ee,-0.08250460773706436,-0.1040181815624237,0.9208071231842041,0.9012089371681213,50,23.18483247961374,47.66366137765084,6.740659635263249,23.592015316200236,0.26,2.393854549124159,2.3964736316255744,18.7,4.720650258422313,-4.615422811416633,7.18,-7.18,0.3401228365864982,0.06706000000000001,0.0,15.33636962911389,91.41233132051943,12.927655872162143,16.62260322671474,0.44,2.6565521050211798,2.6664899500925907,60.08,8.572708685102521,-8.435408354818241,13.36,-13.36,1.0695535976008501,0.21668000000000004,0.5509072927958768
A,0,128000,b23bbdee3b9a85b6bff92b2529207b9b0732d6ae35a2e80b7df9f4a89ddebf19,-0.07904675602912903,-0.10964619368314743,0.9239966869354248,0.8961511850357056,50,24.938226888910382,89.0406042577748,12.592243014324067,26.162185517602047,0.32,2.154776165287048,2.1453009788829926,24.72,8.75819561584697,-8.750860140232502,13.32,-13.32,1.0258386286916648,0.19811999999999996,0.0,-0.05286600766566494,150.9808016643039,21.351909737162092,3.236117726486823,0.48,2.475357993664137,2.481975827335823,71.18,14.369301823500125,-14.347973461629936,21.98,-21.98,2.7536837341524874,0.5352999999999999,0.5567109661329853
A,0,144000,5d3a930e7af070fd7682c5c529eac09e60113ec2cc34130a79e2cc65dc778611,-0.07580626010894775,-0.11457281559705734,0.9269957542419434,0.8917469382286072,50,25.275497801428237,118.37676560012083,16.741002738155174,27.317087025883833,0.38,2.015559311931332,2.0094115509895687,29.16,11.313685591753416,-11.306350116138947,17.88,-17.88,1.6972292244555942,0.34436000000000005,0.0,5.742725447462812,170.07384975813133,24.052074493295343,10.409774969556958,0.48,2.336055976702495,2.3393563506219444,73.32,16.790209352084286,-16.760581189086373,27.04,-27.04,3.851929522094147,0.81512,0.5674452714933037
A,0,160000,b1a5038f4038e53936a75b78285111a4be775a4202359a814f8e97fe87586cd2,-0.09142763167619705,-0.1135268434882164,0.9126273393630981,0.892680287361145,50,25.078755357253357,86.04534845271633,12.168649876095023,26.30762924980424,0.36,2.0385617346766325,2.032527302236069,23.72,8.588827712419565,-8.57943744228455,13.92,-13.92,1.0125538925508792,0.21632000000000004,0.0,8.38249218950157,166.51610527091742,23.548933442767744,12.06141456510628,0.48,2.3641380517475428,2.3701226046498425,64.44,14.868199588207933,-14.839131420484529,25.32,-25.32,2.9938823756047044,0.6850400000000001,0.559347270103247
